LAT,LONG
37.77700539140653,-82.24608909029898
37.77700396063558,-82.24608595304062
37.77693197771799,-82.2459259376069
37.77685897833641,-82.24576602169743
37.77679102006357,-82.24560501633266
37.77672197077892,-82.24544505104647
37.77665702855884,-82.24528505031429
37.77659602915919,-82.2451169768577
37.77653897883144,-82.24494896991052
37.77648897908066,-82.24478097681128
37.77644299408837,-82.24460595858717
37.77640497304193,-82.24443098107541
37.77637100461934,-82.24425500196074
37.77634003564448,-82.24407200387321
37.77631403211843,-82.24389594925439
37.77629498558427,-82.24371303494296
37.77627199042654,-82.24352996155328
37.77625302636694,-82.24334704881485
37.77623397946883,-82.24317195994705
37.7762180333084,-82.2429889932785
37.77619899651658,-82.24280502150141
37.7761800324282,-82.24262200447005
37.77616097565732,-82.24243899760512
37.77614200934464,-82.24226401516731
37.77612296136421,-82.24208099700193
37.77609996267277,-82.24189801747463
37.7760730331343,-82.24172194866259
37.77604299215783,-82.24153896784811
37.77600899900094,-82.24136404853904
37.77596697031876,-82.24118794857213
37.77591301470679,-82.24101999776103
37.77585997322802,-82.24084496985977
37.77579896474384,-82.24068504071313
37.77573401747311,-82.24051701159672
37.7756610217323,-82.24035604552671
37.77558499698448,-82.24020400535939
37.77550898206712,-82.24005101223892
37.77542095897343,-82.23989899319869
37.77534099284112,-82.23975396910356
37.77525297790937,-82.23960903182717
37.77516898849746,-82.2394560231207
37.77508499755314,-82.23931103744569
37.77500200362289,-82.23915898783704
37.7749139890304,-82.23901394729353
37.77482999739863,-82.23886897423483
37.7747419828649,-82.23871599309008
37.77465799085223,-82.23857102069975
37.77457801329173,-82.23841902311847
37.77449402227667,-82.23826601712825
37.77441398160618,-82.23811296110144
37.77433803580973,-82.23796103175073
37.77426502644761,-82.23780102440905
37.77420000167385,-82.23763997617779
37.77413898014498,-82.23747296056463
37.77408200173802,-82.23730496618772
37.77403299796391,-82.23712896609965
37.77398700999855,-82.2369610507141
37.77394898785859,-82.23678596653177
37.77391800710915,-82.23660297723711
37.77389098537778,-82.2364270185647
37.77386899388143,-82.23624395834565
37.77385697802852,-82.23606095969153
37.77384597690563,-82.23587797798702
37.77383799286168,-82.23569504655529
37.77382698303835,-82.23551196015848
37.77382303190161,-82.2353289912754
37.77381497388343,-82.23515303487217
37.77380799559597,-82.23497001567189
37.77380001127652,-82.23477905020962
37.77379202549301,-82.23460404852031
37.77378496330401,-82.23442102802363
37.77377303688456,-82.23423803132758
37.77376899258731,-82.2340549564324
37.77375799832213,-82.23387102191485
37.77374597877137,-82.23368802381657
37.77373103384279,-82.23350497716578
37.77371196275417,-82.23332197830374
37.77368895849851,-82.233147041404
37.77366602990916,-82.23296396703608
37.77363598534017,-82.23278796002954
37.77360197987397,-82.23260502752987
37.77356302736575,-82.23243003561761
37.77352097479964,-82.23225405065092
37.77347900427302,-82.23207902064661
37.77343401603377,-82.23191100989507
37.77339196268097,-82.23173502550884
37.77334595801357,-82.23156002218515
37.77329996401648,-82.23138397283726
37.77325799201824,-82.23121602455596
37.77320896919796,-82.23104097181458
37.77316699757283,-82.2308649897993
37.77311696721809,-82.2306900370657
37.77307097117608,-82.2305220112551
37.77302597034681,-82.23034703768958
37.77297997450823,-82.23017098980755
37.77293397771382,-82.23000296461053
37.77288797031101,-82.22982797500148
37.77284197259246,-82.22965203237216
37.77279697057199,-82.22947704821722
37.77275097265044,-82.22930903546499
37.77270496420043,-82.22913404669208
37.77266299089603,-82.22895795063162
37.77261396345277,-82.22878301695015
37.77257198852483,-82.22860702591352
37.77253453532145,-82.22848118040203
37.77252196617845,-82.22843894760696
37.77247603946242,-82.22826396125542
37.77243398070035,-82.22808796944625
37.77238796974106,-82.22792101617576
37.77234297601096,-82.22774498785438
37.77229696532211,-82.22756998933083
37.77225096463664,-82.22740197882547
37.77220496323756,-82.22722603912011
37.77216297602149,-82.22705100309881
37.77212100757369,-82.22687502582357
37.77207901982853,-82.22669999018565
37.77204099205828,-82.22652397376814
37.77201100978373,-82.22634903218871
37.77198001265339,-82.22616605160187
37.77195700975101,-82.22598995825845
